"Date","Time","ID","Fv/Fm","Notes"
“2021-03-21”,”10:33:34”,”hm5-3”,”0.681”,””
“2021-03-21”,”10:36:56”,”hm5-4”,”0.524”,””
“2021-03-21”,”10:42:45”,”hm5-5”,”0.629”,””
“2021-03-21”,”10:47:24”,”hm5-6”,”0.617”,””
“2021-03-21”,”10:52:01”,”hm6-1”,”0.460”,””
“2021-03-21”,”10:56:29”,”hm6-2”,”0.433”,””
“2021-03-21”,”11:01:04”,”hm6-3”,”0.614”,””
“2021-03-21”,”11:36:56”,”hm6-4”,”0.524”,””
“2021-03-21”,”11:10:29”,”hm6-5”,”0.614”,””
“2021-03-21”,”11:14:59”,”hm6-6”,”0.608”,””
“2021-03-21”,”11:36:02”,”hm2-1”,”0.452”,””
“2021-03-21”,”11:40:44”,”hm2-2”,”-”,””
“2021-03-21”,”11:45:34”,”hm2-3”,”0.528”,””
“2021-03-21”,”11:50:05”,”hm2-4”,”0.563”,””
“2021-03-21”,”11:54:40”,”hm2-5”,”0.613”,””
“2021-03-21”,”11:59:19”,”hm2-6”,”0.630”,””
“2021-03-21”,”12:06:37”,”hm3-1”,”0.469”,””
“2021-03-21”,”12:11:12”,”hm3-2”,”0.506”,””
“2021-03-21”,”12:15:45”,”hm3-3”,”0.518”,””
“2021-03-21”,”12:20:22”,”hm3-4”,”0.594”,””
“2021-03-21”,”12:25:04”,”hm3-5”,”0.627”,””
“2021-03-21”,”12:29:38”,”hm3-6”,”0.612”,””
“2021-03-21”,”12:37:27”,”ulva1a”,”0.742”,””
“2021-03-21”,”12:42:46”,”ulva1b”,”0.725”,””
“2021-03-21”,”12:48:20”,”ulva2a”,”0.768”,””
“2021-03-21”,”12:53:08”,”ulva2b”,”0.810”,””
“2021-03-21”,”12:58:38”,”ulva3a”,”0.747”,””
“2021-03-21”,”13:03:36”,”ulva3b”,”0.754”,””
“2021-03-21”,”13:08:26”,”ulva4a”,”0.790”,””
“2021-03-21”,”13:13:22”,”ulva4b”,”0.809”,””
“2021-03-21”,”13:18:55”,”ulva5a,”0.771”,””
“2021-03-21”,”13:23:54”,”ulva5b”,”0.788”,””
“2021-03-21”,”13:29:36”,”ulva6a”,”0.821”,””
“2021-03-21”,”13:34:23”,”ulva6b”,”0.765”,””
